"id_usuario","id_pedido","restaurante","valor","status","data_registro","data_pedido"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2416000430","Restaurante Keromais","27.8","CONCLUDED","2018-08-24","2020-10-28"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2514349079","Restaurante Keromais","23.8","CONCLUDED","2018-08-24","2020-11-20"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1761097810","La Fruta Acai - Goiania Sul","37.9","CONCLUDED","2018-08-24","2020-04-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1809111962","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-05-03"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2035911072","Gelateria Crema E Cioccolato - T11","43.89","CONCLUDED","2018-08-24","2020-07-08"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2794177780","Portela Bolos E Doces - Marista","36.0","CONCLUDED","2018-08-24","2021-01-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2283261584","Point Dos Espetos","15.0","CONCLUDED","2018-08-24","2020-09-18"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1503668826","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-02-07"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2372979555","Lanchonete E Restaurante Sophia","23.96","CONCLUDED","2018-08-24","2020-10-15"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2144977797","Simbora Restaurante 24h - St. Pedro","29.9","CONCLUDED","2018-08-24","2020-08-09"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1739712759","Wr Carnes Grill","60.8","CONCLUDED","2018-08-24","2020-04-12"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1973682848","Simbora Restaurante 24h - St. Pedro","26.99","CONCLUDED","2018-08-24","2020-06-21"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2201745446","Pamonharia Rio Verde","32.0","CONCLUDED","2018-08-24","2020-08-26"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2510914660","Sweet Doceria","23.37","CONCLUDED","2018-08-24","2020-11-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2181143070","Restaurante  Brito ","22.0","CONCLUDED","2018-08-24","2020-08-20"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2752745116","Bao Acai 1","38.0","CONCLUDED","2018-08-24","2021-01-07"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2279035327","Lanchonete E Restaurante Sophia","20.99","CONCLUDED","2018-08-24","2020-09-17"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2296833542","Restaurante  Brito","22.0","CONCLUDED","2018-08-24","2020-09-22"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1640031458","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-03-16"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2185055258","Restaurante  Brito ","22.0","CONCLUDED","2018-08-24","2020-08-21"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1996902365","Gellato Acai & Burger - Bueno","38.0","CONCLUDED","2018-08-24","2020-06-28"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2286095807","Jantinha Do Vidigal","20.0","CONCLUDED","2018-08-24","2020-09-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2419549381","Restaurante Keromais","33.8","CONCLUDED","2018-08-24","2020-10-29"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2601487461","Vivi Restaurante","25.99","CONCLUDED","2018-08-24","2020-12-08"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2574433653","Duarte Salgados","39.99","CONCLUDED","2018-08-24","2020-12-02"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2803016795","Baraunas Restaurante.","14.99","CONCLUDED","2018-08-24","2021-01-21"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1982775003","Pamonharia Quero Mais","35.0","CONCLUDED","2018-08-24","2020-06-24"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1445794274","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-01-17"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1593759725","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-03-03"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2100305150","Bao Acai & Hamburgueria - T3","25.0","CONCLUDED","2018-08-24","2020-07-26"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2131413829","Restaurante  Brito ","20.0","CONCLUDED","2018-08-24","2020-08-05"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1728653048","Bao Acai & Hamburgueria - T3","36.0","CANCELLED","2018-08-24","2020-04-09"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1728492458","Bao Acai & Hamburgueria - T3","36.0","CANCELLED","2018-08-24","2020-04-09"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2039163506","Bao Acai - Jd Goias","36.0","CONCLUDED","2018-08-24","2020-07-09"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2129082443","Nsa Supermercado Bueno  Express","30.79","CONCLUDED","2018-08-24","2020-08-04"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2129080523","Emporio Prime","31.82","CONCLUDED","2018-08-24","2020-08-04"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1770731996","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-04-22"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2164817786","Pratiko Supermercado","20.76","CONCLUDED","2018-08-24","2020-08-15"
